GRUP DE RECERCA UPC,ÀMBIT DE CONEIXEMENT
CREDA - Centre de Recerca en Economia i Desenvolupament Agroalimentari,Agronomia
CRESCA - Centre de Recerca en Seguretat i Control Alimentari,Agronomia
GINEMQUAL - Gestio Integrada de Nematodes Fitoparasits i dels Efectes sobre el Rendiment i Qualitat de la Collita,Agronomia
GREA - Grup de Recerca d'Enginyeria Agro-Ambiental,Agronomia
UMA - Unitat de Mecanitzacio Agraria,Agronomia
"ACC - Arquitectura, Ciutat i Cultura",Arquitectura i Enginyeria Civil
ACM - Analisis Critiques de la Modernitat: Arquitectura i Ciutat,Arquitectura i Enginyeria Civil
"ADR&M - Arquitectura, Disseny: Representacio i Modelatge",Arquitectura i Enginyeria Civil
"AIEM - Arquitectura, energia i medi ambient",Arquitectura i Enginyeria Civil
"AR.I.EN - Arquitectura, Industria i Enginyeria",Arquitectura i Enginyeria Civil
BIT - Barcelona Innovative Transportation,Arquitectura i Enginyeria Civil
CERCLE - Cercle d'Arquitectura,Arquitectura i Enginyeria Civil
CPSV - Centre de Politica de Sol i Valoracions,Arquitectura i Enginyeria Civil
EC - Enginyeria de la Construccio,Arquitectura i Enginyeria Civil
GAT - Grup d'Arquitectura i Tecnologia,Arquitectura i Enginyeria Civil
GICITED - Grup Interdiciplinari de Ciencia i Tecnologia en l'Edificacio,Arquitectura i Enginyeria Civil
GILDA - Grup per a la Innovacio i la Logistica Docent en Arquitectura,Arquitectura i Enginyeria Civil
GIRAS - Grup Internacional de Recerca en Arquitectura i Societat,Arquitectura i Enginyeria Civil
GREiP - Grup de Recerca d'Edificacio i Patrimoni,Arquitectura i Enginyeria Civil
GRIC - Grup de Recerca i Innovacio de la Construccio,Arquitectura i Enginyeria Civil
GRU - Grup de Recerca Urbanisme,Arquitectura i Enginyeria Civil
LiTA - Laboratori d'Innovacio i Tecnologia en l'Arquitectura,Arquitectura i Enginyeria Civil
LUB - Laboratori d'Urbanisme de Barcelona,Arquitectura i Enginyeria Civil
MATCAR - Materials de Construccio i Carreteres,Arquitectura i Enginyeria Civil
REARQ - Rehabilitacio i Restauracio Arquitectonica,Arquitectura i Enginyeria Civil
EGEO - Enginyeria Geomatica,Arquitectura i Enginyeria Civil
"EXIT - Enginyeria, Xarxes, Infraestructures, Territori",Arquitectura i Enginyeria Civil
FORM+ - Grup de recerca FORM+,Arquitectura i Enginyeria Civil
LESEC - Laboratori d'Estudis Socials de l'Enginyeria Civil,Arquitectura i Enginyeria Civil
"ALBCOM - Algorismia, Bioinformatica, Complexitat i Metodes Formals",Biologia
ANCORA - Analisi i control del ritme cardiac,Biologia
B2SLab - Bioinformatics and Biomedical Signals Laboratory,Biologia
"BBT - Biomaterials, Biomecanica i Enginyeria de Teixits",Biologia
BIOART - BIOsignal Analysis for Rehabilitation and Therapy,Biologia
BIOCOM-SC - Grup de Biologia Computacional i Sistemes Complexos,Biologia
BIOMEC - Biomechanical Engineering Lab,Biologia
GBMI - Grup de Biotecnologia Molecular i Industrial,Biologia
GRABI - Grup de Recerca Aplicada en Biomecanica de l'Impacte,Biologia
GRBIO - Grup de Recerca en Bioestadistica i Bioinformatica,Biologia
IMEM-BRT- Innovation in Materials and Molecular Engineering - Biomaterials for Regenerative Therapies,Biologia
InSup - Grup de Recerca en Interaccio de Superficies en Bioenginyeria i Ciencia dels Materials,Biologia
ISSET - Integrated Smart Sensors and Health Technologies,Biologia
LAB - Laboratori d'Aplicacions Bioacustiques,Biologia
"MACROM - Cristal?lografia, Estructura i Funcio de Macromolecules Biologiques",Biologia
POL - Polimers Industrials Avancats i Biopolimers Tecnologics,Biologia
RSP - Grup de Recerca en Salut Publica,Biologia
"VOS - Visio, Optometria i Salut",Biologia
ARCO - Microarquitectura i Compiladors,Computació
CAP - Grup de Computacio d'Altes Prestacions,Computació
CNDS - Xarxes de Computadors i Sistemes Distribuits,Computació
SOCO - Soft Computing,Computació
"CoDAlab - Control, Modelitzacio, Identificacio i Aplicacions",Computació
DISEN - Distributed Sensor Networks,Computació
